region,family,vm type,regional_disk,sole_tenant,nested_virtualization,local_ssd,cores,gpu,cpu,memory,network_egress,on demand price,preemptible price
asia-east2,n1,n1-highcpu-32,1,1,1,1,32,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",28.8,32,1.5861,0.334
asia-northeast,n1,n1-highcpu-32,1,1,1,1,32,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",28.8,32,1.456,0.3168
asia-northeast1,n1,n1-highcpu-32,1,1,1,1,32,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",28.8,32,1.456,0.3168
asia-northeast2,n1,n1-highcpu-32,1,1,1,1,32,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",28.8,32,1.456,0.3168
asia-northeast3,n1,n1-highcpu-32,1,1,1,1,32,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",28.8,32,1.456,0.3168
asia-southeast,n1,n1-highcpu-32,1,1,1,1,32,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",28.8,32,1.3984,0.28
asia-southeast1,n1,n1-highcpu-32,1,1,1,1,32,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",28.8,32,1.3984,0.28
australia-southeast1,n1,n1-highcpu-32,1,1,1,1,32,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",28.8,32,1.6092,0.32201
australia-southeast2,n1,n1-highcpu-32,1,1,1,1,32,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",28.8,32,1.6092,0.32201
australia,n1,n1-highcpu-32,1,1,1,1,32,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",28.8,32,1.6092,0.32201
southamerica-east1,n1,n1-highcpu-32,1,1,1,1,32,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",28.8,32,1.7999,0.35998
asia-south1,n1,n1-highcpu-32,1,1,1,1,32,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",28.8,32,1.3615,0.28673
asia-southeast2,n1,n1-highcpu-32,1,1,1,1,32,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",28.8,32,1.524256,0.3052
asia-south2,n1,n1-highcpu-32,1,1,1,1,32,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",28.8,32,1.3615,0.28673
us,n1,n1-highcpu-4,1,1,1,1,4,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",3.6,10,0.1418,0.03
us-central1,n1,n1-highcpu-4,1,1,1,1,4,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",3.6,10,0.1418,0.03
us-east1,n1,n1-highcpu-4,1,1,1,1,4,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",3.6,10,0.1418,0.03
us-east4,n1,n1-highcpu-4,1,1,1,1,4,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",3.6,10,0.1626,0.0321
us-west4,n1,n1-highcpu-4,1,1,1,1,4,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",3.6,10,0.1626,0.0321
us-west1,n1,n1-highcpu-4,1,1,1,1,4,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",3.6,10,0.1418,0.03
us-west2,n1,n1-highcpu-4,1,1,1,1,4,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",3.6,10,0.1702,0.03583
us-west3,n1,n1-highcpu-4,1,1,1,1,4,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",3.6,10,0.1702,0.03583
